NUMERO DE ESTUDIANTE;TIPO DE INGRESO;COHORTE;AÑO_INGRESO;TIPO_LICEO;PROCEDENCIA_DEL_LICEO;PROMEDIO_BACHILLERATO;GENERO;NOMBRE_CARRERA;SITUACION;INDICE ACADEMICO;ULTIMO PERIODO CURSADO
3159;Admisión OPSU;13;2013;O;Miranda;;M;MANTENIMIENTO AERONÁUTICO;SUSPENDIDO;2,1538;Enero-Marzo   2014
3160;Admisión OPSU;13;2013;O;APURE;;F;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;1;Septiembre-Diciembre 2013
3161;Admisión OPSU;13;2013;O;VARGAS;16,73;M;MANTENIMIENTO AERONÁUTICO;ACTIVO;3,4697;Enero-Marzo   2018
3162;Admisión OPSU;13;2013;O;Vargas;;F;ORGANIZACIÓN EMPRESARIAL;ACTIVO;3,2692;Enero-Marzo   2018
3163;Admisión OPSU;13;2013;S;VARGAS;13,59;M;TECNOLOGÍA ELÉCTRICA;SUSPENDIDO;1,913;Enero-Marzo   2014
3164;Admisión OPSU;13;2013;P;Miranda;16,83;M;GESTIÓN DE LA HOSPITALIDAD;ACTIVO;4,239;Enero-Marzo   2018
3165;Admisión OPSU;13;2013;O;Miranda;;M;INGENIERÍA DE MANTENIMIENTO;ACTIVO;3,9621;Enero-Marzo   2018
3166;Admisión OPSU;13;2013;O;Miranda;16,26;F;TECNOLOGÍA ELÉCTRICA;ACTIVO;3,2604;Enero-Marzo   2018
3167;Admisión OPSU;13;2013;O;DISTRITO CAPITAL;;F;GESTIÓN DE LA HOSPITALIDAD;ACTIVO;4,2989;Enero-Marzo   2018
3168;Admisión OPSU;13;2013;O;Distrito Federal;;M;GESTIÓN DE LA HOSPITALIDAD;ACTIVO;4,1215;Enero-Marzo   2018
3169;Admisión OPSU;13;2013;O;;;M;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;1;Septiembre-Diciembre 2013
3170;Admisión OPSU;13;2013;O;VARGAS;;F;MANTENIMIENTO AERONÁUTICO;SUSPENDIDO;2,6471;Enero-Marzo   2014
3171;Admisión OPSU;13;2013;O;MIRANDA;16,67;M;TECNOLOGÍA MECÁNICA;SUSPENDIDO;3,6774;Abril-Julio 2015
3172;Admisión OPSU;13;2013;O;VARGAS;;M;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;2,85;Enero-Marzo   2014
3173;Admisión OPSU;13;2013;O;VARGAS;;F;ADMINISTRACIÓN DEL TRANSPORTE;SUSPENDIDO;1,2308;Septiembre-Diciembre 2013
3174;Admisión OPSU;13;2013;P;VARGAS;;M;MANTENIMIENTO AERONÁUTICO;SUSPENDIDO;2,5278;Enero-Marzo   2016
3175;Admisión OPSU;13;2013;P;MIRANDA;17,26;M;COMERCIO EXTERIOR;SUSPENDIDO;1;Septiembre-Diciembre 2013
3176;Admisión OPSU;13;2013;O;BOLIVAR;;F;COMERCIO INTERNACIONAL;ACTIVO;3,5581;Enero-Marzo   2018
3177;Admisión OPSU;13;2013;P;Distrito Federal;;M;TECNOLOGÍA ELECTRÓNICA;ACTIVO;3,4722;Enero-Marzo   2018
3178;Admisión OPSU;13;2013;O;DISTRITO CAPITAL;;F;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;1;Septiembre-Diciembre 2013
3179;Admisión OPSU;13;2013;P;Vargas;15,69;M;MANTENIMIENTO AERONÁUTICO;SUSPENDIDO;3,0566;Septiembre - Diciembre 2017
3180;Admisión OPSU;13;2013;O;VARGAS;;M;COMERCIO EXTERIOR;SUSPENDIDO;2;Abril-Julio 2015
3181;Admisión OPSU;13;2013;O;DISTRITO CAPITAL;;M;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;1;Septiembre-Diciembre 2013
3182;Admisión OPSU;13;2013;O;MIRANDA;;M;TECNOLOGÍA ELECTRÓNICA;RETIRADO;3,2105;Septiembre - Diciembre 2017
3183;Admisión OPSU;13;2013;O;TACHIRA;;M;TECNOLOGÍA MECÁNICA;SUSPENDIDO;1,4615;Septiembre-Diciembre 2013
3184;Admisión OPSU;13;2013;P;;;F;ADMINISTRACIÓN DEL TURISMO;SUSPENDIDO;1;Septiembre-Diciembre 2013
3185;Admisión Regular;13;2013;S;Distrito Federal;;M;INGENIERÍA DE MANTENIMIENTO;ACTIVO;3,8798;Enero-Marzo   2018
